linked_corpus_record_id	linked_inscription_id	title_or_label	tn_locator	source_locator	translation_status	translation_length_chars	translation_text_snippet	link_basis	confidence	needs_human_review	notes
obi-v01-n0081-ob-p0125	obi-v01-n0081	သမန္တသု မယားကျောက်စာ	TN 70	TN 70 (Plate XLV; OCR pages 83)	published_partial_translation	542	No. (5). Locality. Within the porch of the Damayangyi pagoda. Date. 581 Sakkarâj (1219 A.D.). Founder. Kinmi Pèpo.* Substance of inscription.-Dedication of slaves to pagoda. ON Monday, the 3rd waxing of Thadingyut, 581 S	High-confidence IOB concordance link (Plate XLV, TN 70) to obi-v01-n0081-ob-p0125; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 70; source_iob_plate=Plate XLV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0029-re-p0051	obi-v01-n0029	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	TN 70-71	TN 70-71 (Plate X b; linked through SIP 21 / IOB Plate X b source-text match, not through prior corpus plate metadata; OCR pages 83, 84)	published_partial_translation	2834	No. (6). -OBVERSE. Locality. At the Taungkuni pagoda, about 300 feet south of Dama- yangyi pagoda. Date. 553 Sakkarâj (1191 A.D.). Founder. Theingathuya. Substance of inscription.-Building of cave for reception of manu- 	Cross-witness source-text match: SIP 21 and IOB Plate X b resolve to the West-face continuation on obi-v01-n0029-re-p0051, bounded here to No. (6) only; No. (5) remains the already integrated overlap.	high	false	version_label=TN locator TN 70-71; subentry=No. (6) only; source_iob_plate=Plate X b; linked through SIP 21 / IOB Plate X b source-text match, not prior corpus plate metadata.
obi-v01-n0047-ob-p0075	obi-v01-n0047	စိုးမင်းပျံချီသမီးကျောက်စာ	TN 80	TN 80 (Plate XXVII; OCR pages 93)	published_partial_translation	1659	Reverse. Date. 558 Sakkaraj (1196 A.D.). Founder. Thakin Pwèthaung.* Substance of inscription.-Building of pagodas and dedication of slaves thereto. ON Tuesday, the 9th waning of Tawthalin, 558 Sakkaraj, Thakin Pwèthaung	High-confidence IOB concordance link (Plate XXVII, TN 80) to obi-v01-n0047-ob-p0075; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 80; source_iob_plate=Plate XXVII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0007-ob-p0022	obi-v01-n0007	ငနွယ်သင်ကျောက်စာ	TN 92	TN 92 (Plate LIX; OCR pages 105)	published_partial_translation	801	No. (21). Locality. Within the walls of the Shinbinbawdi pagoda, on the northern side. Date.-Nil. Founder.-Theinka . . * Substance of inscription.-Building of monastery and dedication thereto of slaves and lands. On Wedn	High-confidence IOB concordance link (Plate LIX, TN 92) to obi-v01-n0007-ob-p0022; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 92; source_iob_plate=Plate LIX; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0097-tx-p0156	obi-v01-n0097	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	TN 100 101	TN 100 101 (Plate LXXIV; OCR pages 113, 114)	published_partial_translation	3993	Substance of inscription.-Building of cave, monastery, and image, and dedication thereto of slaves, lands, cattle, and utensils On Wednesday, the 3rd waning of Tabaung 592 Sakkarâj, Ma hâ- dânapati made the following off	High-confidence IOB concordance link (Plate LXXIV, TN 100 101) to obi-v01-n0097-tx-p0156; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 100 101; source_iob_plate=Plate LXXIV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	TN 102-103	TN 102-103 (Plate LXXVI; OCR pages 115, 116)	published_partial_translation	2892	No. (3). Locality. On the northern pillar within the inscription ca ve, near the Lemyethna pagoda. Date.-584 Sakkarâj (1222 A.D.). Founders. Maha Turingapyitsi* and others. Substance of inscription.-Dedication of slaves,	High-confidence IOB concordance link (Plate LXXVI, TN 102-103) to obi-v01-n0142-tx-p0238; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 102-103; source_iob_plate=Plate LXXVI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	TN 106	TN 106 (Plate LXXVIII a; OCR pages 119)	published_partial_translation	1605	No. (7).* Locality. Same as No. (6). Date. 589 Sakkarâj (1227 A.D.). NGA KON and brothers Nga Tôn Da, Nga San; Nga Myo, and sons Nga Wun Byi, Nga Hmè, Nga Pa U, Nga Pyi and Nga Ma Gôn; Nga Pa and son Nga Taung Mwe; Nga C	High-confidence IOB concordance link (Plate LXXVIII a, TN 106) to obi-v01-n0142-tx-p0238; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 106; source_iob_plate=Plate LXXVIII a; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	TN 108 109	TN 108 109 (Plate LXXIX b; OCR pages 121, 122)	published_partial_translation	3200	Substance of inscription.-Erection of cave and dedication thereto of slaves, lands, and cattle. and ON Monday, the 14th waxing of Wazo 595 Sakkaraj, Yazan aha Mingalapade built a cave, placed an image in it, and made the	High-confidence IOB concordance link (Plate LXXIX b, TN 108 109) to obi-v01-n0146-tx-p0246; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 108 109; source_iob_plate=Plate LXXIX b; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0021-ob-p0042	obi-v01-n0021	တိုင်းချွတ်ဘုရားကျောက်စာ	TN 65-66	TN 65-66 (Plate VI; OCR pages 78, 79)	published_partial_translation	1250	No. (10). Locality. In the porch of the Tainggyut pagoda. Date. 541 Sakkarāj (1179 A.D.). Founder. Abinandathu. Substance of inscription.-Repairing of the pagoda and dedication of slaves thereto. IN Wazo, 541 Sakkaraj, A	High-confidence IOB concordance link (Plate VI, TN 65-66) to obi-v01-n0021-ob-p0042; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 65-66; source_iob_plate=Plate VI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0070-ob-p0111	obi-v01-n0070	နားတောင်းသိခင်ကျောက်စာ	TN 69	TN 69 (Plate XLI; OCR pages 82)	published_partial_translation	1041	On Sunday, the 7th waxing of Tabodwè, 615 Sakkarâj, Nga Môn Thin and his wife dedicated the following slaves: O Mye, Nga. Yan, and Nga Aung Zin, son of Nga Pôn Su, who was purchased for 5 viss of silver. They further off	High-confidence IOB concordance link (Plate XLI, TN 69) to obi-v01-n0070-ob-p0111; extracted from tracked TN OCR pages.	high	false	version_label=TN locator TN 69; source_iob_plate=Plate XLI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
