reference_id	target_reference_id	source_file	source_work_key_if_known	reference_kind	matched_reference_text_short	normalized_journal_title	normalized_reference_key	volume	issue	year	page_range	author	article_title	inscription_or_topic_keywords	reference_confidence	needs_manual_bibliographic_cleanup	notes
jbrs-ref-0001		data/working/bibliography/bibtex_authority/source_work_authority.tsv:13		local_file_metadata	journalBurmaResearchSociety Journal of the Burma Research Society JBRS periodical periodical sf-jbrs JBRS series_authority Frasch 2018 Myanmar Epigraphy.pdf JBRS = Journal of the Burma Research Society journalBurmaResea…	Journal of the Burma Research Society	 | 2018 |  |  |  | 			2018				ava	low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0002		data/working/bibliography/bibtex_authority/bibliography_authority.bib:132		metadata_fragment	title = {Journal of the Burma Research Society},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0003		data/working/bibliography/bibtex_authority/bibliography_authority.bib:133		metadata_fragment	shorttitle = {JBRS},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0004		data/working/bibliography/bibtex_authority/bibliography_authority.bib:134		metadata_fragment	journal = {Journal of the Burma Research Society},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0005		data/working/bibliography/bibtex_authority/bibliography_authority.bib:138		metadata_fragment	evidence = {JBRS = Journal of the Burma Research Society},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0006		data/working/bibliography/bibtex_authority/bibliography_authority.bib:140		bibliography_family_marker	familyid = {fam-jbrs-publication},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0007		data/working/bibliography/bibtex_authority/bibliography_authority.bib:143		article_reference	matchedlocalsourcefile = {Luce 1924 Countries Neighbouring Burma (JBRS).pdf},	Journal of the Burma Research Society	g h luce | 1924 |  |  |  | 			1924		G. H. Luce			medium	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0008		data/working/bibliography/bibtex_authority/bibliography_authority.bib:147		bibliography_family_marker	sourcefamilyid = {sf-jbrs},	Journal of the Burma Research Society	 |  |  |  |  | 								low	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0009	jbrs-target-0002	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:198		article_reference	Duroiselle, JBRS 6.2, 1916, p. 88 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1916, p. 88 volume_page series_level_resolved series series_level_match high A…	Journal of the Burma Research Society	charles duroiselle | 1916 | 6 |  | 88 | duroiselle	6		1916	88	Charles Duroiselle	Duroiselle		high	false	Raw JBRS repository hit retained for provenance.
jbrs-ref-0010	jbrs-target-0004	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:199		article_reference	Luce, Myanmar's Debt, JBRS 1932, p. 125 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1932, p. 125 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society	g h luce | 1932 | 1932 |  | 125 | luce myanmar s debt	1932		1932	125	G. H. Luce	Luce, Myanmar's Debt		high	false	Raw JBRS repository hit retained for provenance.
