sip_inscription_unit_id	parent_witness_unit_id	sip_ref	iob_plate	detected_entry_number	linked_inscription_id	linked_corpus_record_id	unlinked_review_status	candidate_corpus_record_ids	basis	notes
sip-witness-001-seg-01	sip-witness-001	SIP 13-15	Plate IV				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 13-15 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-001.
sip-witness-001-seg-02	sip-witness-001	SIP 13-15	Plate IV	7			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 13-15 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-001.
sip-witness-002-seg-01	sip-witness-002	SIP 15-16	Plate V				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 15-16 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-002.
sip-witness-002-seg-02	sip-witness-002	SIP 15-16	Plate V	91			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 15-16 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-002.
sip-witness-003-seg-01	sip-witness-003	SIP 19-20	Plate X a				too_noisy_to_link		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003.
sip-witness-003-seg-02	sip-witness-003	SIP 19-20	Plate X a	10			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003.
sip-witness-003-seg-03	sip-witness-003	SIP 19-20	Plate X a	11			no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003.
sip-witness-004-seg-01	sip-witness-004	SIP 21	Plate X b				no_structured_corpus_match_found		Local SIP citation evidence only.	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 21-21 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-004.
sip-witness-005-seg-01	sip-witness-005	SIP 25-26	Plate XXIV				no_structured_corpus_match_found		Local SIP citation evidence only.	Linked through exact corpus plate citation(s): Pl. I 24. | Extracted from SIP printed pages 25-26 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-005.
sip-witness-005-seg-02	sip-witness-005	SIP 25-26	Plate XXIV	14	obi-v01-n0045	obi-v01-n0045-ob-p0073	linked_after_segmentation		Best corpus-text overlap within parent sip-witness-005.	Linked through exact corpus plate citation(s): Pl. I 24. | Extracted from SIP printed pages 25-26 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-005.
