source_work_key	query	matched_file_label	matched_file_id	match_type	match_confidence	short_evidence	searched_sources	search_scope	search_date_or_run_id	search_result_status	recommended_action	notes
tnInscriptionsPaganPinyaAva	U Tun Nyein			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Tun Nyein			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan Pinya and Ava			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Pagan Pinya Ava Rangoon 1897			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	TN inscriptions			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Pagan Pinya Ava			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Inscriptions of Pagan, Pinya and Ava			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
ppaCatalogue	PPA			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Pagan Pinya Ava inscriptions			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	Continue targeted local-file search for a direct witness.	No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Inscriptions Collected in Upper Burma	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/4 for Inscriptions Collected in Upper Burma
