family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	likely_contains_translation	review_status	notes
fam-list-catalogue	List references	source_catalogue	534	824	List 90 | List 302 | List 255	no	unreviewed	Grouped by recurring leading label.
fam-obi-internal	OBI internal references	internal_reference	322	701	OBI 3, p. 2 | OBI 3, p. 1 | OBI 3, p. 3	no	unreviewed	Grouped by recurring leading label.
fam-plate-references	Plate references	internal_reference	254	545	Pl. II 198 | Pl. II 195b | Pl. II 201b	no	unreviewed	Grouped by recurring leading label.
fam-ppa-catalogue	PPA references	source_catalogue	65	241	PPA, p. 55 | PPA, p. 191 | PPA, p. 155	no	unreviewed	Grouped by recurring leading label.
fam-tn-catalogue	TN references	source_catalogue	58	233	TN, p. 26 | TN, p. 91 | TN, p. 71	no	unreviewed	Grouped by recurring leading label.
fam-rdasb-publication	RDASB references	publication	112	228	RDASB 1971 | RDASB 1926, p. 26 and App. G | RDASB 1966	unknown	unreviewed	Grouped by recurring publication abbreviation.
fam-u-min-hswe-catalogue	U Min Hswe references	source_catalogue	38	211	U Min Hswe, no. 51 | U Min Hswe, no. 18 | U Min Hswe, no. 43	possible	unreviewed	Grouped by recurring leading label.
fam-raw-a	A, p. 79	unclear	51	131	A, p. 79 | A, p. 101 | A, p. 103-105	unknown	unreviewed	No stronger conservative family signal was detected.
fam-ippa-catalogue	IPPA references	source_catalogue	116	117	IPPA | IPPA 101-102 | IPPA 137-138	no	unreviewed	Grouped by recurring leading label.
fam-uem-catalogue	UEM references	source_catalogue	63	84	UEM no. 44, p. 117 | UEM no. 41, p. 113 | UEM no. 42, p. 115	no	unreviewed	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B references	source_catalogue	48	66	BED B 645-2 | BED B 622-4 | BED B 623-1	no	unreviewed	Grouped by recurring leading label.
fam-sip-catalogue	SIP references	source_catalogue	27	38	SIP no. 26, p. 55 | SIP no. 11, p. 19 | SIP no. 12, p. 21	no	unreviewed	Grouped by recurring leading label.
fam-raw-b-2	B 2, p. 815	unclear	30	32	B 2, p. 815 | B 2, p. 830 | B 2 p. 747	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ub-1	UB 1, p. 297	unclear	23	30	UB 1, p. 297 | UB 1, p. 300 | UB 1, p. 191	unknown	unreviewed	No stronger conservative family signal was detected.
fam-mm-catalogue	MM references	source_catalogue	23	23	MM 1, no. 13, p. 117 | MM 1, no. 15, p. 136 | MM 1, no. 16, p. 140	no	unreviewed	Grouped by recurring leading label.
fam-jbrs-publication	JBRS references	publication	21	22	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5 | Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125	possible	unreviewed	Grouped by recurring publication abbreviation.
fam-or-catalogue	OR references	source_catalogue	10	21	OR 3475, no. 4 | OR 3434 (gā: verso) | OR 3434 fol. ghā verso (with further dates)	no	unreviewed	Grouped by recurring leading label.
fam-raw-mp-1	MP 1, p. 81	unclear	16	17	MP 1, p. 81 | MP 1, no. 1, p. 1 | MP 1, p. 139	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ub-2	UB 2, p. 203	unclear	12	14	UB 2, p. 203 | UB 2 p. 233 | UB 2, p. 133	unknown	unreviewed	No stronger conservative family signal was detected.
fam-bbhc-publication	BBHC references	publication	12	13	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96 | Luce/ U Pe Maung Tin, BBHC 1 (2) | Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	possible	unreviewed	Grouped by recurring publication abbreviation.
fam-raw-mp	MP, p. 107	unclear	6	12	MP, p. 107 | MP, p. 13 | MP, p. 151	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-u-kyaw-bagan-minsa	U Kyaw, “Bagan Minsa”, p. 195	unclear	1	12	U Kyaw, “Bagan Minsa”, p. 195	unknown	unreviewed	No stronger conservative family signal was detected.
fam-iob-catalogue	IOB references	source_catalogue	9	9	IOB--278 BED B 622-4 | IOB--462/b | IOB-1-51. BED B 572	no	unreviewed	Grouped by recurring leading label.
fam-raw-mp-2	MP 2, p. 159	unclear	3	7	MP 2, p. 159 | MP 2, p. 61 | MP 2, p. 65	unknown	unreviewed	No stronger conservative family signal was detected.
fam-anthology	Anthology references	book	5	6	Anthology 5, p. 81 | Anthology 1, p. 39 | Anthology 5, p. 82	possible	unreviewed	Grouped by recurring title keyword.
fam-eb-publication	EB references	publication	4	6	EB 1 (1), 1919, p. 1 | EB Vol.1, n°1 | EB Vol.1 n°1 BED B 474-1	unknown	unreviewed	Grouped by recurring leading label.
fam-ray-theravada-buddhism	Ray, Theravada Buddhism	book	4	5	Ray, Theravada Buddhism, p. 106 | Ray, Theravada Buddhism, p. 108 | Ray, Theravada Buddhism, p. 164, Frasch, ‘King Na…	no	unreviewed	Grouped by recurring author/title pair.
fam-harvey-history	Harvey, History references	book	2	3	The Myazedi Inscription in Four Languages, ed. by… | Harvey, History, p. 331	possible	unreviewed	Grouped by recurring author/title pair.
fam-raw-arasi-1936-37	ARASI 1936-37, p. 114	unclear	3	3	ARASI 1936-37, p. 114 | ARASI 1936-37, p. 115 | ARASI 1936-37, p. 116	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-not-in-u-min-hswe	(not in U Min Hswe)	unclear	1	3	(not in U Min Hswe)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-jras-publication	JRAS references	publication	1	2	Blagden, JRAS 1909, p. 10	possible	unreviewed	Grouped by recurring publication abbreviation.
fam-raw-2	& 2	unclear	2	2	& 2 | -2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-another-mm-4	another copy MM 4, no. 20, p. 90	unclear	2	2	another copy MM 4, no. 20, p. 90 | another copy MM 4, no. 9, p. 44	unknown	unreviewed	No stronger conservative family signal was detected.
