citation_target_id	normalized_source_key	matched_local_file_id	matched_batch_id	matched_file_name	matched_canonical_file_name	matched_ocr_text_path	matched_metadata_path	match_status	match_confidence	match_basis	ocr_status	needs_ocr	needs_manual_file_hunt	notes
corpus-citation-target-0001	annualReportsArchaeologicalSurveyIndia							no_local_candidate_found	low			false	true	
corpus-citation-target-0002	anthology							no_local_candidate_found	low			false	true	
corpus-citation-target-0003	britishLibraryOrientalManuscripts							no_local_candidate_found	low			false	true	
corpus-citation-target-0004	bulletinBurmaHistoricalCommission							no_local_candidate_found	low			false	true	
corpus-citation-target-0005	duroiselle1921list	duroiselle_1921_list_of_inscriptions-fd372f9141d6		Duroiselle 1921 List of Inscriptions.pdf	Duroiselle 1921 List of Inscriptions.pdf			needs_ocr	medium	source_library:Shared local-authority tokens: duroiselle, list		true	false	
corpus-citation-target-0006	epigraphiaBirmanica							no_local_candidate_found	low			false	true	
corpus-citation-target-0007	fam-raw-12							no_local_candidate_found	low			false	true	
corpus-citation-target-0008	fam-raw-17							no_local_candidate_found	low			false	true	
corpus-citation-target-0009	fam-raw-184-bed-b-614-2							no_local_candidate_found	low			false	true	
corpus-citation-target-0010	fam-raw-1936-37-4003-1938-39-4080							no_local_candidate_found	low			false	true	
corpus-citation-target-0011	fam-raw-1958-59							no_local_candidate_found	low			false	true	
corpus-citation-target-0012	fam-raw-1960							no_local_candidate_found	low			false	true	
corpus-citation-target-0013	fam-raw-1962-63-bed-b-622-6							no_local_candidate_found	low			false	true	
corpus-citation-target-0014	fam-raw-1963							no_local_candidate_found	low			false	true	
corpus-citation-target-0015	fam-raw-1970-71							no_local_candidate_found	low			false	true	
corpus-citation-target-0016	fam-raw-2							no_local_candidate_found	low			false	true	
corpus-citation-target-0017	fam-raw-265							no_local_candidate_found	low			false	true	
corpus-citation-target-0018	fam-raw-3							no_local_candidate_found	low			false	true	
corpus-citation-target-0019	fam-raw-31-2-3							no_local_candidate_found	low			false	true	
corpus-citation-target-0020	fam-raw-377							no_local_candidate_found	low			false	true	
corpus-citation-target-0021	fam-raw-6							no_local_candidate_found	low			false	true	
corpus-citation-target-0022	fam-raw-617							no_local_candidate_found	low			false	true	
corpus-citation-target-0023	fam-raw-769							no_local_candidate_found	low			false	true	
corpus-citation-target-0024	fam-raw-another-is-list-401							no_local_candidate_found	low			false	true	
corpus-citation-target-0025	fam-raw-aung-thwin-ceylonese-burmese-relations-jss-1976							no_local_candidate_found	low			false	true	
corpus-citation-target-0026	fam-raw-ba-1-9							no_local_candidate_found	low			false	true	
corpus-citation-target-0027	fam-raw-ba-10							no_local_candidate_found	low			false	true	
corpus-citation-target-0028	fam-raw-ba-101							no_local_candidate_found	low			false	true	
corpus-citation-target-0029	fam-raw-ba-103							no_local_candidate_found	low			false	true	
corpus-citation-target-0030	fam-raw-ba-105							no_local_candidate_found	low			false	true	
corpus-citation-target-0031	fam-raw-ba-106							no_local_candidate_found	low			false	true	
corpus-citation-target-0032	fam-raw-ba-107							no_local_candidate_found	low			false	true	
corpus-citation-target-0033	fam-raw-ba-109-157							no_local_candidate_found	low			false	true	
corpus-citation-target-0034	fam-raw-ba-11							no_local_candidate_found	low			false	true	
corpus-citation-target-0035	fam-raw-ba-110							no_local_candidate_found	low			false	true	
corpus-citation-target-0036	fam-raw-ba-111							no_local_candidate_found	low			false	true	
corpus-citation-target-0037	fam-raw-ba-112							no_local_candidate_found	low			false	true	
corpus-citation-target-0038	fam-raw-ba-113							no_local_candidate_found	low			false	true	
corpus-citation-target-0039	fam-raw-ba-114							no_local_candidate_found	low			false	true	
corpus-citation-target-0040	fam-raw-ba-115							no_local_candidate_found	low			false	true	
corpus-citation-target-0041	fam-raw-ba-116							no_local_candidate_found	low			false	true	
corpus-citation-target-0042	fam-raw-ba-117							no_local_candidate_found	low			false	true	
corpus-citation-target-0043	fam-raw-ba-118							no_local_candidate_found	low			false	true	
corpus-citation-target-0044	fam-raw-ba-121							no_local_candidate_found	low			false	true	
corpus-citation-target-0045	fam-raw-ba-122							no_local_candidate_found	low			false	true	
corpus-citation-target-0046	fam-raw-ba-124							no_local_candidate_found	low			false	true	
corpus-citation-target-0047	fam-raw-ba-125							no_local_candidate_found	low			false	true	
corpus-citation-target-0048	fam-raw-ba-127							no_local_candidate_found	low			false	true	
corpus-citation-target-0049	fam-raw-ba-128							no_local_candidate_found	low			false	true	
corpus-citation-target-0050	fam-raw-ba-130							no_local_candidate_found	low			false	true	
corpus-citation-target-0051	fam-raw-ba-133							no_local_candidate_found	low			false	true	
corpus-citation-target-0052	fam-raw-ba-135							no_local_candidate_found	low			false	true	
corpus-citation-target-0053	fam-raw-ba-137-138							no_local_candidate_found	low			false	true	
