work_candidate_id	family_id	provisional_short_label	author_original	author_normalized	year	title_original	title_normalized	publication_details	language	script	translation_relevance	evidence_raw_references	review_status	notes
work-anthology	fam-anthology	Anthology references				Anthology	anthology			latin	possible_translation	Anthology 5, p. 81 | Anthology 1, p. 39 | Anthology 5, p. 82	unreviewed	Grouped by recurring title keyword.
work-bbhc-publication	fam-bbhc-publication	BBHC references	Luce/U Pe Maung Tin	luce/u pe maung tin	1963	BBHC 3, 1963	bbhc 3 1963			latin	possible_translation	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96 | Luce/ U Pe Maung Tin, BBHC 1 (2) | Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	unreviewed	Grouped by recurring publication abbreviation.
work-bed-b-catalogue	fam-bed-b-catalogue	BED B references								latin	unlikely_translation	BED B 645-2 | BED B 622-4 | BED B 623-1	unreviewed	Grouped by recurring leading label.
work-eb-publication	fam-eb-publication	EB references			1919					latin	unknown	EB 1 (1), 1919, p. 1 | EB Vol.1, n°1 | EB Vol.1 n°1 BED B 474-1	unreviewed	Grouped by recurring leading label.
work-harvey-history	fam-harvey-history	Harvey, History references	Harvey	harvey		History of Myanmar	history of myanmar			latin	possible_translation	The Myazedi Inscription in Four Languages, ed. by the Cultu… | Harvey, History, p. 331	unreviewed	Grouped by recurring author/title pair.
work-iob-catalogue	fam-iob-catalogue	IOB references								latin	unlikely_translation	IOB--278 BED B 622-4 | IOB--462/b | IOB-1-51. BED B 572	unreviewed	Grouped by recurring leading label.
work-ippa-catalogue	fam-ippa-catalogue	IPPA references								latin	unlikely_translation	IPPA | IPPA 101-102 | IPPA 137-138	unreviewed	Grouped by recurring leading label.
work-jbrs-publication	fam-jbrs-publication	JBRS references	U Hswai	u hswai	1965	JBRS 48 (2), 1965	jbrs 48 2 1965			latin	possible_translation	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5 | Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125	unreviewed	Grouped by recurring publication abbreviation.
work-jras-publication	fam-jras-publication	JRAS references	Blagden	blagden	1909	JRAS 1909	jras 1909			latin	possible_translation	Blagden, JRAS 1909, p. 10	unreviewed	Grouped by recurring publication abbreviation.
work-list-catalogue	fam-list-catalogue	List references								latin	unlikely_translation	List 90 | List 302 | List 255	unreviewed	Grouped by recurring leading label.
