tn_locator	printed_page_or_pages	ocr_pages_inspected	image_pages_inspected	existing_status	resolution_status	translation_unit_id	linked_corpus_record_id	linked_inscription_id	evidence_used	problem_found	decision	notes
TN 143	143	156	page-156.png	not_extractable_from_current_ocr	integrated_after_manual_review	tn-translation-1899-plate-xcviii-tn-143	obi-v01-n0129-tx-p0209	obi-v01-n0129	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	manual inspection completed	Integrated a bounded TN segment after direct page/image review.	Exact structured corpus plate citation resolved to OCRed Plate XCVIII. | Manual page/image inspection with targeted Tesseract OCR on pages 156-157 isolates No. (6) and confirms the Myingondaing 300-pes dedication segment aligned to this record. | page_image_inspection=attempted
TN 28	28	41	page-041.png	duplicate_or_subentry_of_integrated_translation	integrated_after_manual_review	tn-translation-1899-plate-li-tn-28	obi-v01-n0095-re-p0142	obi-v01-n0095	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	manual inspection completed	Integrated a bounded TN segment after direct page/image review.	Exact structured corpus plate citation resolved to OCRed Plate LI. | Manual page inspection of OCR page 41 and rendered image page-041.png confirms a distinct No. (3) segment for the CS 585 daughter-of-Kyan-Thaing inscription. | page_image_inspection=attempted
TN 30 | TN 86-87	30, 86, 87	43, 99, 100	page-043.png, page-099.png, page-100.png	deferred_complex_boundary	integrated_after_manual_review	tn-translation-1899-plate-cv-a-tn-30-86-87	obi-v01-n0179-tx-p0306	obi-v01-n0179	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	manual inspection completed	Integrated a bounded TN segment after direct page/image review.	Exact structured corpus plate citation resolved to OCRed Plate CV a. | Manual page/image inspection confirms this composite locator resolves through TN 86-87 pages (OCR 99-100): No. (14) matches the Ñāṇapicaññ inscription profile; TN 30 is overlap noise for this target. | page_image_inspection=attempted
TN 36-57	36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57	49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70	page-049.png, page-050.png, page-051.png, page-052.png, page-053.png, page-054.png, page-055.png, page-056.png, page-057.png, page-058.png, page-059.png, page-060.png, page-061.png, page-062.png, page-063.png, page-064.png, page-065.png, page-066.png, page-067.png, page-068.png, page-069.png, page-070.png	deferred_complex_boundary	integrated_after_manual_review	tn-translation-1899-plate-xxxi-tn-36-57-no-1	obi-v01-n0052-ob-p0083	obi-v01-n0052	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	manual inspection completed	Integrated a bounded TN segment after direct page/image review.	Exact structured corpus plate citation resolved to OCRed Plate XXXI. | Manual TN 36-57 segmentation against page images and cross-witness references isolates Plate XXXI No. (1) (Kemawaya, CS 569, King Nandaungmya) and supports secure linkage to obi-v01-n0052-ob-p0083. | page_image_inspection=attempted
TN 73-76	73, 74, 75, 76	86, 87, 88, 89	page-086.png, page-087.png, page-088.png, page-089.png	candidate_needs_human_review	integrated_after_manual_review	tn-translation-1899-plate-i-tn-73-76-no-1	obi-v01-n0004-ob-p0011	obi-v01-n0004	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	manual inspection completed	Integrated a bounded TN segment after direct page/image review.	Manual page/image inspection of OCR pages 86-89 isolates Plate I No. (1) and supports linkage to obi-v01-n0004-ob-p0011. | page_image_inspection=attempted
TN 76-79	76, 77, 78, 79	89, 90, 91, 92	page-089.png, page-090.png, page-091.png, page-092.png	candidate_needs_human_review	confirmed_duplicate_or_overlap	tn-translation-1899-plate-xiii-tn-79			tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	confirmed_duplicate_or_overlap	Confirmed overlap/duplicate relation to an already integrated TN segment.	iob_plate=Plate II; locator_pages=76,77,78,79; ocr_pages=89, 90, 91, 92; link_basis= | page_image_inspection=attempted; overlaps TN 79 prayer-to-inscription transition on pages 89-92; overlap_unit=tn-translation-1899-plate-xiii-tn-79. | page_image_inspection=attempted
TN 66	66	79	page-079.png	candidate_needs_human_review	confirmed_duplicate_or_overlap	tn-translation-1899-plate-vi-tn-65-66			tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	confirmed_duplicate_or_overlap	Confirmed overlap/duplicate relation to an already integrated TN segment.	iob_plate=Plate IV; locator_pages=66; ocr_pages=79; link_basis= | page_image_inspection=attempted; inspected pages 79; overlap_unit=tn-translation-1899-plate-vi-tn-65-66. | page_image_inspection=attempted
TN 66-67	66, 67	79, 80	page-079.png, page-080.png	candidate_needs_human_review	confirmed_duplicate_or_overlap	tn-translation-1899-plate-vi-tn-65-66			tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	confirmed_duplicate_or_overlap	Confirmed overlap/duplicate relation to an already integrated TN segment.	iob_plate=Plate V; locator_pages=66,67; ocr_pages=79, 80; link_basis= | page_image_inspection=attempted; inspected pages 79-80; overlap_unit=tn-translation-1899-plate-vi-tn-65-66. | page_image_inspection=attempted
TN 70	70	83	page-083.png	candidate_needs_human_review	integrated	tn-translation-1899-plate-xlv-tn-70	obi-v01-n0081-ob-p0125	obi-v01-n0081	tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	confirmed_duplicate_or_overlap	Integrated a bounded TN segment after direct page/image review.	Exact structured corpus plate citation resolved to OCRed Plate XLV. | iob_plate=Plate X a; locator_pages=70; ocr_pages=83; link_basis= | page_image_inspection=attempted; inspected pages 83; overlap_unit=tn-translation-1899-plate-xlv-tn-70. | page_image_inspection=attempted
TN 70-71	70, 71	83, 84	page-083.png, page-084.png	candidate_needs_human_review	no_corresponding_translation_found				tracked OCR page markers + local vision page_text + existing zip OCR text + rendered page images with targeted Tesseract page OCR	translation_fragment_without_secure_locator	No secure corresponding translation linkage found in current corpus scope.	iob_plate=Plate X b; locator_pages=70,71; ocr_pages=83, 84; link_basis= | page_image_inspection=attempted; inspected pages 83-85 with targeted Tesseract OCR on pages 83-84; span includes end of No. (5), full No. (6), and start of No. (7), so the non-overlap part cannot be safely linked as a standalone structured-record translation. | Manual inspection of OCR pages 83-85 confirms TN 70-71 is a multi-entry span crossing No. (5), No. (6), and No. (7): No. (5) overlaps integrated tn-translation-1899-plate-xlv-tn-70, while the remaining segment lacks secure standalone structured-record linkage. | page_image_inspection=attempted
