hunt_table	source_work_key	query	matched_file_label	matched_file_id	initial_match_type	initial_search_result_status	triage_status	triage_reason	is_cross_source_match	is_secondary_or_unrelated	is_known_false_positive	recommended_action	notes
missing_core_witness_hunt	uemSelectionsPagan	E Maung	031070.pdf	031070-d0d3df8f0935	exact_title_filename	candidate_found	too_broad_query_noise	Broad name-fragment query matched a Maung Gyi cave-sculpture article, not a U E Maung direct witness.	false	true	false	Do not promote this broad-query hit; retain it only as reviewed query noise and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Broad name-fragment query matched a Maung Gyi cave-sculpture article, not a U E Maung direct witness.
missing_core_witness_hunt	uemSelectionsPagan	U E Maung Pagan	223151.pdf	223151-c159fe6459f2	normalized_title_filename	candidate_found	secondary_or_unrelated	Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.	false	true	false	Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.
missing_core_witness_hunt	uemSelectionsPagan	U E Maung inscriptions	201033.pdf	201033-5a49239473a4	normalized_title_filename	candidate_found	secondary_or_unrelated	Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.	false	true	false	Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.
missing_core_witness_hunt	uemSelectionsPagan	Selections from the Inscriptions of Pagan U E Maung	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	normalized_title_filename	candidate_found	known_false_positive	known SIP/UEM false positive; reviewed file belongs to the Luce and Pe Maung Tin SIP witness, not to U E Maung	false	false	true	Do not promote this file; retain it only as a reviewed SIP/UEM false positive and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | known SIP/UEM false positive; reviewed file belongs to the Luce and Pe Maung Tin SIP witness, not to U E Maung
missing_core_witness_hunt	ubSourceFamily	Upper Burma Stone Inscriptions	StoneInscriptionsSale-Swere1965.pdf	stoneinscriptionssale_swere1965-1c981765c5c3	normalized_title_filename	candidate_found	secondary_or_unrelated	Matched a later article-style work rather than the core Upper Burma direct witness.	false	true	false	Do not promote this file as the core Upper Burma witness; retain it only as a reviewed secondary/unrelated lead and continue targeted search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a later article-style work rather than the core Upper Burma direct witness.
inscriptions_of_burma_text_volume_hunt	lucePeMaungTinInscriptionsOfBurma	Pe Maung Tin Luce Inscriptions of Burma text	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	normalized_title_filename	candidate_found	known_false_positive	plate/facsimile volume, not companion text volume	false	false	true	Retain as a plate witness; continue searching for the companion text volume.	Normalized token overlap 5/6 for Pe Maung Tin Luce Inscriptions of Burma text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text volume
inscriptions_of_burma_text_volume_hunt	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma list text	a_list_of_inscriptions_found_in_burma_part_i.pdf	a_list_of_inscriptions_found_in_burma_pa-1cabd997be83	normalized_title_filename	candidate_found	cross_source_witness	Matched the separate List of Inscriptions source work, not the Luce/Pe Maung Tin companion text volume.	true	false	false	Retain only as a reviewed cross-source List witness; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Inscriptions of Burma list text | The matched file belongs to the separate List source work and cannot satisfy the Inscriptions of Burma text-volume hunt. | Matched the separate List of Inscriptions source work, not the Luce/Pe Maung Tin companion text volume.
inscriptions_of_burma_text_volume_hunt	lucePeMaungTinInscriptionsOfBurma	Luce Pe Maung Tin Portfolio I	111029.pdf	111029-f93adf2c3a6c	normalized_title_filename	candidate_found	secondary_or_unrelated	Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.	false	true	false	Retain only as a reviewed secondary/cross-source lead; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio I | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.
inscriptions_of_burma_text_volume_hunt	lucePeMaungTinInscriptionsOfBurma	Luce Pe Maung Tin Portfolio II	111029.pdf	111029-f93adf2c3a6c	normalized_title_filename	candidate_found	secondary_or_unrelated	Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.	false	true	false	Retain only as a reviewed secondary/cross-source lead; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio II | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.
inscriptions_of_burma_text_volume_hunt	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma 1960 text	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	normalized_title_filename	candidate_found	known_false_positive	plate/facsimile volume, not companion text volume	false	false	true	Retain as a plate witness; continue searching for the companion text volume.	Normalized token overlap 3/4 for Inscriptions of Burma 1960 text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text volume
