source_work_key	candidate_label	candidate_id	evidence_sources	ruled_out_category	reason_ruled_out	recommended_guardrail	related_queries_or_context	notes
lucePeMaungTinInscriptionsOfBurma	111029.pdf	111029-f93adf2c3a6c	inscriptions_of_burma_text_volume_hunt;witness_hunt_candidate_triage	secondary_or_unrelated	Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.	Retain only as a reviewed secondary/cross-source lead; continue searching for the Luce/Pe Maung Tin companion text volume.	Luce Pe Maung Tin Portfolio I | Luce Pe Maung Tin Portfolio II	Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio I | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Mau… | Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio II | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Ma…
lucePeMaungTinInscriptionsOfBurma	a_list_of_inscriptions_found_in_burma_part_i.pdf	a_list_of_inscriptions_found_in_burma_pa-1cabd997be83	inscriptions_of_burma_text_volume_hunt;witness_hunt_candidate_triage	cross_source_witness	Matched the separate List of Inscriptions source work, not the Luce/Pe Maung Tin companion text volume.	Retain only as a reviewed cross-source List witness; continue searching for the Luce/Pe Maung Tin companion text volume.	Inscriptions of Burma list text	Normalized token overlap 3/4 for Inscriptions of Burma list text | The matched file belongs to the separate List source work and cannot satisfy the Inscriptions of Burma text-volume hunt. | Matched the separate List of…
lucePeMaungTinInscriptionsOfBurma	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	inscriptions_of_burma_text_volume_hunt; inscriptions_of_burma_text_volume_hunt;witness_hunt_candidate_triage; inscriptions_of_burma_text_witness_search	known_false_positive	plate/facsimile volume, not companion text volume	Retain as a plate witness; continue searching for the companion text volume.	Pe Maung Tin Luce Inscriptions of Burma text | Inscriptions of Burma 1960 text | Luce Pe Maung Tin Inscriptions of Burma text | Luce Pe Maung Tin Inscriptions Burma Portfolio | Inscriptions of Burma plates text	Normalized token overlap 5/6 for Pe Maung Tin Luce Inscriptions of Burma text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not compa… | Normalized token overlap 3/4 for Inscriptions of Burma 1960 text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text vol… | Normalized token overlap 5/6 for Luce Pe Maung Tin Inscriptions of Burma text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | Normalized token overlap 5/6 for Luce Pe Maung Tin Inscriptions Burma Portfolio | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement.
lucePeMaungTinInscriptionsOfBurma	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44	inscriptions_of_burma_text_volume_hunt; inscriptions_of_burma_text_volume_hunt;witness_hunt_candidate_triage	known_false_positive	plate/facsimile volume, not companion text volume	Retain as a plate witness; continue searching for the companion text volume.	Inscriptions of Burma 1963 text	Normalized token overlap 3/4 for Inscriptions of Burma 1963 text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text vol…
sipSelectionsPagan;uemSelectionsPagan	111029.pdf	111029-f93adf2c3a6c	rescue_candidate_review	secondary_article	Original-path evidence identifies a Chronicle of Tagaung article rather than a Selections witness.	Retain as reviewed secondary evidence; do not map as SIP/UEM/TN/PPA/UB direct witness.	Luce Pe Maung Tin Selections	
ubSourceFamily	StoneInscriptionsSale-Swere1965.pdf	stoneinscriptionssale_swere1965-1c981765c5c3	missing_core_witness_hunt;witness_hunt_candidate_triage	secondary_or_unrelated	Matched a later article-style work rather than the core Upper Burma direct witness.	Do not promote this file as the core Upper Burma witness; retain it only as a reviewed secondary/unrelated lead and continue targeted search.	Upper Burma Stone Inscriptions	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde…
uemSelectionsPagan	031070.pdf	031070-d0d3df8f0935	missing_core_witness_hunt;witness_hunt_candidate_triage	too_broad_query_noise	Broad name-fragment query matched a Maung Gyi cave-sculpture article, not a U E Maung direct witness.	Do not promote this broad-query hit; retain it only as reviewed query noise and continue targeted U E Maung search.	E Maung	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde…
uemSelectionsPagan	201033.pdf	201033-5a49239473a4	missing_core_witness_hunt;witness_hunt_candidate_triage	secondary_or_unrelated	Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.	Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	U E Maung inscriptions	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde…
uemSelectionsPagan	223151.pdf	223151-c159fe6459f2	missing_core_witness_hunt;witness_hunt_candidate_triage	secondary_or_unrelated	Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.	Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	U E Maung Pagan	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde…
uemSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	missing_core_witness_hunt;witness_hunt_candidate_triage	known_false_positive	known SIP/UEM false positive; reviewed file belongs to the Luce and Pe Maung Tin SIP witness, not to U E Maung	Do not promote this file; retain it only as a reviewed SIP/UEM false positive and continue targeted U E Maung search.	Selections from the Inscriptions of Pagan U E Maung	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde…
uemSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	witness_verification	weak_false_positive	Title-family overlap exists, but the author/editor evidence points to a different edition or work.	Retain as reviewed evidence, but exclude from direct-witness counts.	Luce 1928 inscriptions of Pagan.pdf	
